"Date (MM/DD/YYYY)","Category","Amount","Note"
"07/27/2018","Food","-25.2",""
"07/27/2018","Consumables","-28.31","крема, мыло, пакеты, фэйри"
"07/22/2018","Med","-22.0","plazma remove pen"
"07/19/2018","Income","180.0","аванс"
"07/19/2018","Bills","-2.62","за газ"
"07/19/2018","Bills","-165.0","квртплт за Август"
"07/14/2018","Consumables","-8.0","чехол для смарта, ожидаю стилус в подарок."
"07/05/2018","Food","-21.49",""
"07/05/2018","Food","-21.87",""
"07/05/2018","Food","-16.55",""
"07/03/2018","Consumables","-4.36","кабель AUX"
"07/02/2018","Clothes","-24.0","сумку для смартфона купил пц, некуда деньги девать."
"06/29/2018","Food","-22.25",""
"06/29/2018","Consumables","-2.08","чистящее средство от известкового налёта."
"06/29/2018","Food","-34.39",""
"06/29/2018","Clothes","-48.0","Курточка softshell \"Northern Summit\""
"06/29/2018","Food","-7.59",""
"06/29/2018","Consumables","-27.0","проездной на Июль"
"06/29/2018","Bills","-165.0","кыартплата за Июль"
"06/28/2018","Consumables","-16.0","internet  to July"
"06/24/2018","Food","-11.66",""
"06/24/2018","Food","-5.75",""
"06/24/2018","Food","-22.69",""
"06/24/2018","Food","-28.52",""
"06/22/2018","Income","1030.0","зачисление на счёт отпускных каких-то"
"06/17/2018","Income","170.0","13-го зачислили чё-то"
"06/14/2018","Food","-13.01",""
"06/14/2018","Food","-21.44",""
"06/14/2018","Food","-20.0",""
"06/14/2018","Clothes","-34.0","свитшотик и флиска в адзенне"
"06/14/2018","Food","-13.44","две пачки кофе в острове"
"06/14/2018","Food","-32.22",""
"06/14/2018","Consumables","-1.45","средство для мытья стёкол"
"06/14/2018","Food","-18.35",""
"05/31/2018","Income","980.0","зарплата"
"05/31/2018","Food","-15.07",""
"05/31/2018","Food","-19.9",""
"05/31/2018","Food","-21.26",""
"05/29/2018","Bills","-165.0","квртплт за Июнь"
"05/29/2018","Bills","-2.62","за газ"
"05/25/2018","Food","-18.3",""
"05/25/2018","Food","-17.48",""
"05/20/2018","Clothes","-28.0","Two Jeens in Adzenne second-hand"
"05/20/2018","Food","-12.1",""
"05/20/2018","Food","-23.09",""
"05/20/2018","Food","-21.03",""
"05/20/2018","Food","-22.67",""
"05/18/2018","Food","-20.0","благодарность"
"05/16/2018","Income","150.0","аванс"
"05/13/2018","Food","-22.31",""
"05/13/2018","Consumables","-11.05","шампунь, гель для душв/шампунь, мыло Duru"
"05/13/2018","Food","-16.1",""
"05/13/2018","Food","-19.7",""
"05/13/2018","Food","-30.56",""
"05/13/2018","Food","-25.81",""
"05/13/2018","Food","-14.92",""
"05/01/2018","Consumables","-27.0","Bus ticket for May"
"05/01/2018","Food","-6.72"," кофе Чибо, 😨пц"
"05/01/2018","Food","-14.19","Bottle Tide wash gel for my urine"
"05/01/2018","Food","-27.9",""
"05/01/2018","Consumables","-14.0","Internet traffic for May month"
"04/27/2018","Income","200.0","25-го что это? Это там я 3 нед болел?"
"04/26/2018","Food","-17.79",""
"04/26/2018","Food","-23.35",""
"04/26/2018","Food","-24.69",""
"04/26/2018","Food","-26.89",""
"04/26/2018","Consumables","-28.09","простыни, в смысле бязь и подкладочная ткань."
"04/24/2018","Income","470.0","in vipiska 18Apr zrplt"
"04/24/2018","Income","220.0","in vipiska 5Apr?"
"04/23/2018","Bills","-165.0","квартплата за Май"
"04/17/2018","Med","-2.5","Дистилят 6л"
"04/17/2018","Food","-26.59",""
"04/17/2018","Food","-24.81",""
"04/17/2018","Consumables","-6.79","стир порошёк"
"04/17/2018","Food","-18.96",""
"04/16/2018","Bills","-2.62","газ"
"04/13/2018","Clothes","-41.0","жымсики стеич энд серая маечка у Адзеннi"
"04/13/2018","Food","-21.13",""
"04/13/2018","Food","-27.97",""
"04/09/2018","Food","-20.53",""
"04/06/2018","Fun","-13.0","ткань на экран 2м по 4р бязь, катушка ниток."
"04/05/2018","Food","-26.72",""
"04/05/2018","Consumables","-27.0","проездной на Апрель"
"04/05/2018","Food","-19.76",""
"04/05/2018","Consumables","-22.55","стержни, маркер, готовальня, контейнер для пайки, соль в баночке, пропитка водоотталкивающая."
"04/05/2018","Food","-8.46",""
"04/05/2018","Food","-19.89",""
"04/05/2018","Consumables","-29.74","дистилят, рулетка за 11,71, 3M, резиновая камера"
"04/01/2018","Consumables","-15.9","интернет Апрель"
"03/31/2018","Income","130.0","кусок зарплаты"
"03/31/2018","Income","110.0","кусок зрплты"
"03/29/2018","Food","-5.75",""
"03/29/2018","Food","-10.54",""
"03/29/2018","Food","-10.36",""
"03/29/2018","Food","-6.15",""
"03/29/2018","Food","-9.85",""
"03/29/2018","Food","-10.95",""
"03/25/2018","Consumables","-6.0","на телефон 466"
"03/25/2018","Income","290.0","зарплта"
"03/23/2018","Bills","-165.0","квартплата за Апрель"
"03/23/2018","Food","-33.2",""
"03/23/2018","Food","-3.04",""
"03/23/2018","Food","-2.52",""
"03/23/2018","Food","-23.71",""
"03/23/2018","Clothes","-140.45","Onitsuka Tiger "
"03/14/2018","Food","-27.05",""
"03/14/2018","Food","-15.44",""
"03/14/2018","Food","-5.87",""
"03/14/2018","Food","-29.18",""
"03/11/2018","Bills","-2.62","за газ"
"03/07/2018","Food","-16.87",""
"03/07/2018","Food","-14.38",""
"03/01/2018","Income","1000.0","зарплата за Январь"
"02/28/2018","Food","-4.49","кофе"
"02/28/2018","Food","-22.82",""
"02/28/2018","Food","-22.57",""
"02/28/2018","Consumables","-27.0","проездной Март"
"02/28/2018","Food","-9.14",""
"02/24/2018","Bills","-165.0","квртплт за Март"
"02/23/2018","Income","100.0","аванс на 23 февраля вместо 15-го"
"02/23/2018","Food","-4.37",""
"02/23/2018","Food","-4.49",""
"02/23/2018","Food","-11.28",""
"02/23/2018","Food","-13.66",""
"02/23/2018","Food","-4.73",""
"02/23/2018","Food","-20.57",""
"02/23/2018","Med","-8.49","хлоргексндин х2 , солодка, девясил"
"02/23/2018","Food","-4.53",""
"02/23/2018","Food","-9.89",""
"02/23/2018","Income","50.0","Благодарность за работу"
"02/23/2018","Consumables","-14.0","Интернет на Март"
"02/12/2018","Bills","-2.62","за Газ"
"02/11/2018","Food","-12.79",""
"02/11/2018","Food","-18.67",""
"02/11/2018","Food","-7.94",""
"02/11/2018","Food","-3.08",""
"02/11/2018","Food","-11.63",""
"02/11/2018","Food","-5.74",""
"02/11/2018","Food","-17.39",""
"01/31/2018","Food","-20.55",""
"01/29/2018","Food","-6.76",""
"01/29/2018","Food","-9.74","каýбаса у жанчыны якая хацела каб я ёй 2коп быý доýжны"
"01/28/2018","Med","-7.91","2бут. хлоргекседина и 100гр Девясила (3,89р)"
"01/28/2018","Food","-11.87",""
"01/28/2018","Consumables","-4.0","интернет Февраль"
"01/28/2018","Consumables","-27.0","проездной Февраль"
"01/28/2018","Food","-20.33",""
"01/28/2018","Food","-5.63",""
"01/28/2018","Food","-5.9",""
"01/26/2018","Income","900.0","зарплатка"
"01/26/2018","Bills","-165.0","квртплт за Февраль"
"01/23/2018","Food","-13.92",""
"01/23/2018","Food","-8.06",""
"01/23/2018","Food","-5.55",""
"01/23/2018","Food","-12.0",""
"01/23/2018","Food","-9.53",""
"01/23/2018","Food","-6.97",""
"01/23/2018","Food","-16.1",""
"01/18/2018","Bills","-2.44","за Газ"
"01/17/2018","Consumables","-5.49","бутылка моющего для окон 1,69 и чай"
"01/17/2018","Food","-7.94",""
"01/17/2018","Consumables","-8.06","Парфюм Men's Code Black Mark 100ml"
"01/17/2018","Food","-2.35",""
"01/17/2018","Food","-5.74",""
"01/17/2018","Food","-13.08",""
"01/17/2018","Food","-18.45",""
"01/17/2018","Food","-5.74",""
"01/17/2018","Food","-14.18",""
"01/17/2018","Food","-7.24",""
"01/17/2018","Food","-4.37",""
"01/17/2018","Food","-8.64",""
"01/17/2018","Food","-12.0",""
"01/15/2018","Income","200.0","авансег"
"12/31/2017","Food","-28.18",""
"12/31/2017","Food","-13.0",""
"12/31/2017","Food","-23.66",""
"12/31/2017","Food","-27.28",""
"12/31/2017","Food","-8.33",""
